modelo,familia_variables,particion,MAE,RMSE,R2,mejora_rmse_vs_dummy_pct
Random Forest - Base,base,VALIDACION,0.7031588185891952,0.9993797292377627,0.5668390106887957,
Ridge - Base,base,VALIDACION,0.7686246684927953,1.0745796175460547,0.49919868357731634,
Lineal - Base,base,VALIDACION,0.7685881819234559,1.0746090382062736,0.4991712605612362,
Ridge - Con eventos,eventos,VALIDACION,0.7661054804781563,1.0756756055733383,0.49817660547071096,
Lineal - Con eventos,eventos,VALIDACION,0.7660748833954251,1.0757064709858177,0.4981478064383559,
Random Forest - Con eventos,eventos,VALIDACION,0.8135383575596706,1.0950792192261694,0.4799089985409205,
Dummy media,base,VALIDACION,1.1599051728376402,1.5190074771010278,-0.0007096497873613217,
Random Forest - Base,base,TEST,0.7388275231016622,1.124319910496723,0.6070661587267834,37.613392386640676
Dummy media,base,TEST,1.25558820294527,1.802181515405822,-0.009570594365152063,0.0
