modelo,umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades
DummyClassifier,0.5,0.9647772334966177,0.0,0.0,0.0,0.03522276650338232,0.5,4136.0,0.0,151.0,0.0,0.0,1510.0
MLP inicial,0.35000000000000003,0.9715418707721017,0.7230769230769231,0.31125827814569534,0.4351851851851852,0.35439396294633196,0.7445591607209192,4118.0,18.0,104.0,47.0,65.0,1058.0
MLP regularizada,0.1,0.9708420807091206,0.6710526315789473,0.33774834437086093,0.44933920704845814,0.36980015276995626,0.7656195959880616,4111.0,25.0,100.0,51.0,76.0,1025.0
