epoca,accuracy,loss,pr_auc,precision,recall,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall
1,0.960149884223938,0.16119813919067383,0.3166799545288086,0.748971164226532,0.20776255428791046,0.9727081656455994,0.12205123156309128,0.34227925539016724,0.8399999737739563,0.2781457006931305
2,0.9661669731140137,0.136223703622818,0.4365912675857544,0.7989822030067444,0.35844749212265015,0.9729414582252502,0.12086561322212219,0.34690770506858826,0.843137264251709,0.2847682237625122
3,0.9666420221328735,0.13382332026958466,0.4514843225479126,0.8065326809883118,0.3664383590221405,0.9729414582252502,0.12055729329586029,0.3531288802623749,0.843137264251709,0.2847682237625122
4,0.966853141784668,0.13195271790027618,0.4664369225502014,0.8054187297821045,0.3732876777648926,0.9724749326705933,0.12015815079212189,0.3587888181209564,0.8367347121238708,0.2715231776237488
5,0.9671170711517334,0.1304311603307724,0.4779440462589264,0.8092909455299377,0.3778538703918457,0.9720084071159363,0.11982979625463486,0.36211302876472473,0.8163265585899353,0.26490065455436707
6,0.9670642614364624,0.1292705237865448,0.4859796464443207,0.8073170781135559,0.3778538703918457,0.9724749326705933,0.11986993253231049,0.36400240659713745,0.8367347121238708,0.2715231776237488
7,0.9672226309776306,0.12823082506656647,0.4927293062210083,0.8087167143821716,0.38127854466438293,0.9720084071159363,0.11972629278898239,0.3668064475059509,0.8163265585899353,0.26490065455436707
8,0.9671698808670044,0.1274043470621109,0.49707525968551636,0.8067632913589478,0.38127854466438293,0.9720084071159363,0.11994602531194687,0.3682863116264343,0.8163265585899353,0.26490065455436707
9,0.9670115113258362,0.12667658925056458,0.5015568137168884,0.8053528070449829,0.3778538703918457,0.9720084071159363,0.12001338601112366,0.3665822446346283,0.8163265585899353,0.26490065455436707
10,0.9670642614364624,0.12611347436904907,0.504826545715332,0.804347813129425,0.38013699650764465,0.9720084071159363,0.1199771910905838,0.3651624023914337,0.8163265585899353,0.26490065455436707
11,0.9671170711517334,0.1256111115217209,0.5079343318939209,0.8048192858695984,0.38127854466438293,0.9720084071159363,0.12022344022989273,0.36511412262916565,0.8163265585899353,0.26490065455436707
12,0.9670115113258362,0.12521301209926605,0.5099255442619324,0.8038740754127502,0.37899544835090637,0.9720084071159363,0.12043040990829468,0.36221593618392944,0.8163265585899353,0.26490065455436707
13,0.9672754406929016,0.12478966265916824,0.511756181716919,0.8091787695884705,0.3824200928211212,0.9720084071159363,0.12054537236690521,0.36139723658561707,0.8163265585899353,0.26490065455436707
14,0.9673281908035278,0.12436574697494507,0.5144795179367065,0.8111380338668823,0.3824200928211212,0.9717751145362854,0.12079384177923203,0.360829621553421,0.8125,0.25827813148498535
15,0.9671698808670044,0.12401783466339111,0.5165119767189026,0.8097561001777649,0.37899544835090637,0.9720084071159363,0.12083066254854202,0.361194908618927,0.8163265585899353,0.26490065455436707
16,0.9673281908035278,0.12358927726745605,0.5181328654289246,0.8141809105873108,0.38013699650764465,0.9717751145362854,0.12106789648532867,0.35931336879730225,0.8125,0.25827813148498535
17,0.967433750629425,0.123268261551857,0.5204837918281555,0.8135592937469482,0.3835616409778595,0.9720084071159363,0.12123115360736847,0.35857051610946655,0.8297872543334961,0.25827813148498535
18,0.9673810005187988,0.12288762629032135,0.5224686861038208,0.8115941882133484,0.3835616409778595,0.9722416400909424,0.12140369415283203,0.3574868142604828,0.8478260636329651,0.25827813148498535
19,0.9672754406929016,0.12251516431570053,0.524673581123352,0.8091787695884705,0.3824200928211212,0.9722416400909424,0.1215989887714386,0.3577871024608612,0.8478260636329651,0.25827813148498535
20,0.967433750629425,0.12220863252878189,0.5265080332756042,0.8150851726531982,0.3824200928211212,0.9722416400909424,0.12177823483943939,0.3583163917064667,0.8478260636329651,0.25827813148498535
